Device,Timestamp,Latitude,Longitude,Speed,Heading
RockBLOCK 14435,2018-09-19 06:53:57,82.247705,20.240708333333334,0.31,302.62
RockBLOCK 14435,2018-09-19 11:12:19,82.24765,20.129518333333333,0.33,256.42
RockBLOCK 14435,2018-09-19 15:27:28,82.24534,19.874458333333333,0.68,280.74
RockBLOCK 14435,2018-09-19 19:41:47,82.25045666666666,19.700611666666667,0.46,214.63
RockBLOCK 14435,2018-09-19 23:56:13,82.22274833333333,19.512813333333334,0.65,246.67
RockBLOCK 14435,2018-09-20 04:10:28,82.22417333333334,19.169251666666668,0.4,302.98
RockBLOCK 14435,2018-09-20 08:25:26,82.21799833333333,19.109345,0.31,197.95
RockBLOCK 14435,2018-09-20 12:39:53,82.19883,18.957515,0.41,236.12
RockBLOCK 14435,2018-09-20 16:54:33,82.19255166666667,18.761816666666668,0.33,255.11
RockBLOCK 14435,2018-09-20 21:08:55,82.19239166666667,18.619886666666666,0.16,282.18
RockBLOCK 14435,2018-09-21 01:23:29,82.18755333333333,18.454505,0.51,266.27
RockBLOCK 14435,2018-09-21 05:38:02,82.19198333333334,18.13958,0.53,273.94
RockBLOCK 14435,2018-09-21 13:20:10,82.15881833333333,17.663305,0.67,255.39
RockBLOCK 14435,2018-09-21 17:34:34,82.15678166666666,17.322116666666666,0.71,280.77
RockBLOCK 14435,2018-09-21 21:49:03,82.17014666666667,17.059151666666665,0.37,279.71
RockBLOCK 14435,2018-09-22 02:03:21,82.17331833333333,16.818553333333334,0.58,275.27
RockBLOCK 14435,2018-09-22 06:17:34,82.17863666666666,16.513018333333335,0.57,277.96
RockBLOCK 14435,2018-09-22 10:31:58,82.17601833333333,16.281283333333334,0.43,249.7
RockBLOCK 14435,2018-09-22 14:46:27,82.16456,16.016063333333335,0.55,265.91
RockBLOCK 14435,2018-09-22 19:01:42,82.174235,15.61241,0.69,279.23
RockBLOCK 14435,2018-09-22 23:16:52,82.18587833333333,15.217495,0.86,276.64
RockBLOCK 14435,2018-09-23 03:31:31,82.18955833333334,14.8087,0.53,252.89
RockBLOCK 14435,2018-09-23 07:45:59,82.18776333333334,14.388863333333333,1.06,263.3
RockBLOCK 14435,2018-09-23 12:00:24,82.16819,14.023433333333333,0.93,243.06
RockBLOCK 14435,2018-09-23 16:14:42,82.14464833333334,13.464386666666666,1.11,261.32
RockBLOCK 14435,2018-09-23 20:29:16,82.13642333333334,12.909335,0.58,233.49
RockBLOCK 14435,2018-09-24 00:43:52,82.10039666666667,12.46824,1.67,256.34
RockBLOCK 14435,2018-09-24 04:58:56,82.07161166666667,12.056696666666667,1.54,285.6
RockBLOCK 14435,2018-09-24 13:36:43,82.009675,11.595843333333333,0.98,222.22
RockBLOCK 14435,2018-09-24 17:53:57,81.98216166666667,11.294985,1.03,258.77
RockBLOCK 14435,2018-09-24 22:13:06,81.95545666666666,11.11505,0.63,179.05
RockBLOCK 14435,2018-09-25 02:27:41,81.87196,11.087506666666666,1.6,200.27
RockBLOCK 14435,2018-09-25 06:45:30,81.799875,10.879561666666667,0.88,196.02
RockBLOCK 14435,2018-09-25 11:02:29,81.72028666666667,10.795046666666666,1.39,179.47
RockBLOCK 14435,2018-09-26 00:08:27,81.504915,10.769315,0.6,190.15
RockBLOCK 14435,2018-09-26 04:26:19,81.44555166666666,10.785235,0.68,180.44
RockBLOCK 14435,2018-09-26 08:42:03,81.39611166666667,10.901058333333333,0.87,317.96
RockBLOCK 14435,2018-09-26 17:22:12,81.283395,11.131471666666666,0.52,136.96
RockBLOCK 14435,2018-09-26 21:41:25,81.23675666666666,11.29084,1.21,177.62
RockBLOCK 14435,2018-09-27 01:57:25,81.17664666666667,11.342948333333334,0.55,185.27
RockBLOCK 14435,2018-09-27 10:44:16,81.08371166666667,11.457886666666667,1.02,189.23
RockBLOCK 14435,2018-09-27 15:04:45,81.05102833333333,11.56622,1.57,104.1
RockBLOCK 14435,2018-09-27 19:24:10,81.02555333333333,11.839711666666666,0.35,130.49
RockBLOCK 14435,2018-09-28 21:42:17,80.982685,12.922131666666667,0.47,185.69
RockBLOCK 14435,2018-09-29 02:04:38,80.96880166666666,13.02166,0.76,204.37
RockBLOCK 14435,2018-09-29 06:20:49,80.95339166666666,13.098993333333333,1.04,110.92
RockBLOCK 14435,2018-09-29 10:41:05,80.92535833333334,13.237768333333333,1.25,140.26
RockBLOCK 14435,2018-09-30 16:45:09,80.98378166666667,15.344008333333333,1.31,60.71
RockBLOCK 14435,2018-10-01 09:48:19,80.94794333333333,16.541423333333334,0.2,118.26
